number,title,collection,listing_sha256
215,Creative Collaboration Handoff,VOLUME-7,48ffea5424bd142809f06f317ffe5ba1ebbf491f26ee512492842148567238fa
216,Performance Rehearsal Log,VOLUME-7,98ae9d397ac7232fe738a058c88021c6718ef1b01bfc404235fb324a7a365df0
217,Community Event Runbook,VOLUME-8,56b9254921b1f6d982900bd4be2e2d8670ab15af3610000d188b169610f9607f
218,Neighborhood Contact Directory,VOLUME-8,b9d1ce6154d3cfd91e2777af3441d2b852dd3025af71cceda0ff390a706d97db
219,Library Research Trail,VOLUME-8,6f78bb4c6e27ba36f4456027068895e010c904b6c3108e374715b6c644da0a1a
220,Local History Interview Book,VOLUME-8,8fe027a1197eeed29cb571d29a8250e340cfe1b27132995b113abed92318627a
221,Home School Activity Log,VOLUME-8,d32bbea97861a57644080f2061c57d282e918172373855357e4682c78ed48d4e
222,College Application Tracker,VOLUME-8,c4bffb66e62a348ce894305a678f525b95811d09847492fec953dd5c9969b0d6
223,Scholarship Evidence Ledger,VOLUME-8,65106a1530df2c98f3ce35d3b994f1281c76a31893da40b777a278e741a8c6c2
224,Internship Follow-Up Register,VOLUME-8,eaf43d7091cc6f1c94ba6f74ecaa79b528bff69d88cfa1ae72e406669b788e40
225,Professional Development Log,VOLUME-8,93a630abf3daffaa94719480878ae7867e1265f7ad41dbd9cd9c16023f5bd9e6
226,Team Onboarding Notebook,VOLUME-8,edc9fb5d6a655fdcb8c2fab78ec91001db11cbb623ddac9feaa4f3f90716535d
227,Manager One-on-One Register,VOLUME-8,e54a3abea76a8ff960ce0a1b06605ea5e32f05fc7508645cca04786f076b9f0e
228,Workload Negotiation Log,VOLUME-8,6be93324234d1a547eb8918f999456b95cdef7c038da5201aa0cfa7b7672f5f4
229,Contractor Project Handoff,VOLUME-8,ca14e7c687c29fd9f544691f47b235c419c4092fd99b71d542c99486d609b897
230,Renovation Budget Evidence Book,VOLUME-8,9f7cfe186323008f14a6428c28d2fbb2f26596714a28966c2270a6d138aacbc2
231,Appliance Warranty Tracker,VOLUME-8,97f1fa801fe18f4c5c6f05be355a4a249376d586f91b97ee4c402d2eda279f97
232,Vehicle Trip Maintenance Log,VOLUME-8,ff89aa1a97f3cbac7232c7f1a127da8ebc2d091f02205055d9de422d23e613d0
233,Pet Medication Question Log,VOLUME-8,c2a5acc9c56c1ae00a673f4feebe672f693938f9f9162822a2938fe6c987779c
234,Pet Adoption Transition Book,VOLUME-8,cc104f2c20108b58f8251f3264efaa794194ca01632869e26e8047024b9be29a
235,Plant Care Observation Journal,VOLUME-8,748e5d995a33c8e45b640789a66461446ad6afcdbdcd020e3462698cd12f21a6
236,Seasonal Home Reset Ledger,VOLUME-8,ba6b106c645ab7563d56fb413beeb299a5513fb99824b5eb67d0c273773e1631
237,Emergency Supply Rotation Log,VOLUME-8,316f066b7e26f42249e319bef61887381597be2d1c09791c42f238948c599c23
238,Document Backup Checklist,VOLUME-8,511255993a48f0b95e3ebd3ae68d0f2d4d0c1cf276ca1ec6a023c2bb33ac55d2
239,Password Manager Migration Log,VOLUME-8,c9f1b5b1e3eb7c73a9aebdd7c3d084388957e34c38617b405ae63775510d3c42
240,Privacy Preference Register,VOLUME-8,725dfc101f35dd2218f10b7969bfc6d7992f220d1b6780dabd36c03addb0b7f6
241,Subscription Cancellation Record,VOLUME-8,d563a8dbf1a8243203a8016fcd7a78f5935b541e0e0d0d21eabfec1e165bff6e
242,Household Purchase Decision Book,VOLUME-8,df712658e9924fa315264cf939c5d7a59afedb4fe17c8b5880e369dd5d0f0136
243,Accessible Restaurant Call Log,VOLUME-8,1a45614e9d4b7380a92fe2003820083274f66829524ef9becf984852c2a5c5d3
244,Medical Interpreter Appointment Log,VOLUME-8,76d7a84b633014ff89efbf2f732c28950fbf4ee1dad14232a04ab2c9e72d8a5d
245,Caregiver Respite Planning Book,VOLUME-8,606cd05afcbc1cba6f6a1b194eabd461324a2e01a0565a228ec35b6ce1a496d8
246,Support Group Meeting Notes,VOLUME-8,10d64e4c1f2ddc687ab0a608799934994b891014c5942fb74720ba96423f7e21
247,Personal Values Decision Journal,VOLUME-8,71f235e0de582e47e1c19e37b3ddb3374703be0f3fb851e6a29f61d278f3b771
248,Difficult Email Draft Book,VOLUME-8,3750f44a3da98db699d5940e7751305fc32c9fa3b7f767582edcb889525d59bb
249,Boundary Conversation Record,VOLUME-8,b7379e0bf455ecc861fcd505e5702e41c5840c8af1206f2e0ee18f203739f27d
250,Creative Project Archive,VOLUME-8,20e7167ec5063890023f89649b539c3828fe69d2600b87dafebbd87e90b0526c
251,Maker Workshop Log,VOLUME-8,d324c910c137ada109d433ed373340033207b507e776c661161317d1cbe99be3
252,Reading Project Notebook,VOLUME-8,c2e3edcab326160f5c55837fed7008c68313220d81f060a8a7de566cfd5d44e0
253,Accessible Workplace Setup Log,VOLUME-9,b5038de19100adf60d272d20bd7b516b1b129ae57f2446f5759195811c6deb3f
254,Care Team Question Cards,VOLUME-9,a0304285d497d97bb3fa0bd0b74df5c2a8954ae99c5f1413375f777354ab17ce
255,Appointment Transportation Log,VOLUME-9,4ce2886c57aba15b285291ea9c377ce51035b8d8692aa32cf5fd73399a34316f
256,Home Care Supply Ledger,VOLUME-9,a671205fff1e67bd5322762b500a0f8d2ddbef9d1bf7104833c17749f33421ee
257,Family Calendar Handoff,VOLUME-9,0e0b6327c8311342297bd7aaf638b4d56140b0d27ba94912d008bfd8ecd3a514
258,Shared Household Task Board,VOLUME-9,38b5d7775d1b1e252a770f02fc38b101089f8681bcff220fbeb1473dd43e1296
259,New Parent Support Handoff,VOLUME-9,c8af0f9040ef77bd6560d8aea9202b353abb5c3924a0856ceb7fc99e8002a2c0
260,School Pickup Authorization Log,VOLUME-9,60dd145f3ba82d7e046f6ba5ebd7b0b7fcf94c6ff26efbb02bcdc06f7f0c5189
261,Child Activity Equipment Log,VOLUME-9,4e3bd25c39bb7de814f685c09b5f634d29a8ce1863189ce9ca18640193ca981e
262,Caregiver Meal Planning Book,VOLUME-9,113eea277c5d47c61a4bb66e826ced0457b4eded5f2f7a31b5e3f9d31c48f617
263,Community Resource Call Log,VOLUME-9,04cbe3bffa8ec0fa939f97db8aece1a9fce72a3bdfd2ded82a2355a30df14598
264,Benefits Application Tracker,VOLUME-9,38745dfb147168a6e697312fdc441497c3ef0e78811ab17c7d206c592e6b61ca
265,Housing Search Evidence Book,VOLUME-9,2efb1881aff9c142cdfd13fe54a6e57a1dec91e86e9652e5f42764fbeec3b769
266,Lease Renewal Decision Log,VOLUME-9,81c2cb9d7ad98b918bb2157268c5aefc6138ce1df26383bf7cf08f8a1c994595
267,Moving Day Command Book,VOLUME-9,b9d8723c9428d55f9522c53cbb502eecfa1107a9386db5319d563c97ed8ebde5
268,Household Utility Transfer Log,VOLUME-9,ceab538cb1ada535e6509effd613b1a2d1478c55dd0e3a9813f2600fd2d22c2d
269,Insurance Claim Timeline,VOLUME-9,5be0aa661f6c2cf9f1fd7d9eea56742ebbbb7d9b3ee408460ab73b8b3d3aa033
270,Personal Property Photo Index,VOLUME-9,ed1fc413cd47c2a8d3861c68cc7670ca2c6ba750e45bef8d4b7b9a570803b630
271,Storm Repair Contractor Log,VOLUME-9,0f176d8645021287ecd404bcd468ed23fe947d3ebc02432976f2c522ab85f055
272,Seasonal Vehicle Readiness Book,VOLUME-9,638f0cc940e436f614780f7d28a766a9174982e1a5a950a5ff7f64233dc57dea
273,Workplace Incident Fact Log,VOLUME-9,32bbfbd000765ebbcf6a3f870b46474952a9d4c5c280068f7c5a1dd1099c28d3
274,HR Conversation Preparation Book,VOLUME-9,5ea61e394a628afa49c6b98fa07dd76ea716a7239dcbbb114082c1088c4dff91
275,Career Change Research Ledger,VOLUME-9,2a27fb2ce1dc9ae8a1cf0c3f2de61b1cc2c21b3279e75fee32c7cf8072ae8a5d
276,Freelance Invoice Follow-Up Log,VOLUME-9,b6023d23c0e4f5ecf995f5ff3527d87a88def927a76a10a8644e3080ababb8b9
277,Small Team Process Notebook,VOLUME-9,c59d930cfc88007d6a3ef55da1430be231cbfa50f51f61028924df792a3449d6
278,Meeting Facilitation Fieldbook,VOLUME-9,5d740fe793816c4d99a0cd4b830e63c83f2cdd716b03d2990a386070d697ec87
279,Volunteer Training Register,VOLUME-9,84a3f2e82d50d6b626474ae3448d2b62149d91316c2b8ed7e4481d9a20148549
280,Fundraising Outreach Tracker,VOLUME-9,53902a3449c66f304fad342ef04288b8083157730af26cf16bb39ca90aa38d57
281,Creative Submission Calendar,VOLUME-9,98f6a553dfc4bb25b1528a1a2a79d10e349ce871e03b9aed7a60a79799dc329a
282,Artist Materials Inventory,VOLUME-9,ed0e1fbc989ae4d4ec8908261abd7bed6c1b5da20d9199960ea2601b468fa40e
283,Performance Venue Research Book,VOLUME-9,8c0f217c110c09970b39681a1951f5af047e9c373a7fe8179ee82842026cad99
284,Travel Medication Packing Record,VOLUME-9,021ab0c2af061f6b1df9ba547c1af26239bc3bc074f0f7074f852344c0bcb613
285,Accessibility Accommodation Request Log,VOLUME-9,4c1bd6a182c95b97fe6f966548fb911c51fb0d6934134f248c3a007b835040ff
286,Language Access Planning Book,VOLUME-9,db3f88dffdd0914524f892053e786697356bdc4f1208814a801f765739a561d8
287,Personal Archive Finding Aid,VOLUME-9,724e9b7c50549210d71498fad368feee57f2ec2f582d870bc57f080f3c90789f
288,Life Admin Weekly Review,VOLUME-9,9b2ecc33ed46f645c698925c63e70b20b735b7b16d36ffc1d2e7b59c34a329db
